Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,ontology,gene_count,neglogpadj,color,cluster
GO_Biological_Process_2021,chordate embryonic development (GO:0043009),5/58,7.384023780759215e-05,0.017555516538755,0,0,12.88028627195836,122.53797838271052,TBX1;IGF2;LMX1B;FGFR2;SULF2,BP,5,1.7555863876950295,#2171b5,3
GO_Biological_Process_2021,regulation of Wnt signaling pathway (GO:0030111),7/111,2.053493271506161e-05,0.0151336454724575,0,0,9.294109736417427,100.31488683924808,PTK7;NXN;CTNND2;DACT3;FGFR2;MDFI;SULF2,BP,7,1.8200564442259153,#2171b5,3
GO_Biological_Process_2021,regulation of postsynaptic neurotransmitter receptor activity (GO:0098962),3/10,4.774020653772085e-05,0.0151336454724575,0,0,57.85131195335277,575.6053165227497,NPTX2;NPTXR;BEGAIN,BP,3,1.8200564442259153,#2171b5,3
GO_Biological_Process_2021,regulation of axonogenesis (GO:0050770),5/51,3.948407551150757e-05,0.0151336454724575,0,0,14.845577211394303,150.5284094510694,TIAM2;LINGO1;BRSK2;PLXNB3;EPHB3,BP,5,1.8200564442259153,#2171b5,3
GO_Cellular_Component_2021,integral component of plasma membrane (GO:0005887),25/1454,7.944699245168785e-05,0.0097719800715576,0,0,2.578166550034989,24.33897640370745,PTPRS;GAL3ST1;EPHA10;LPAR2;SLC4A3;SLC7A1;CACNA1H;GRIN2A;EPHB3;KCNH2;KCNH3;KCNF1;GABBR1;KCNIP3;SLC6A11;SSTR5;OBSCN;PTK7;FXYD2;TRPV4;KCNS3;TYRO3;PLXNB3;ESYT3;FGFR2,CC,25,2.0100174273741427,#31a354,3
GO_Biological_Process_2021,fatty acid biosynthetic process (GO:0006633),5/71,0.0001940422049567169,0.0134521153009371,0,0,10.336468129571578,88.3502881361457,ACSM3;ABHD1;ACSM2A;ACSM5;ACSM2B,BP,5,1.8712094189112125,#2171b5,4
GO_Biological_Process_2021,cholesterol homeostasis (GO:0042632),5/71,0.0001940422049567169,0.0134521153009371,0,0,10.336468129571578,88.3502881361457,ABCG8;ACSM3;MTTP;ABCB11;CYP7A1,BP,5,1.8712094189112125,#2171b5,4
GO_Biological_Process_2021,sterol homeostasis (GO:0055092),5/72,0.0002072745038665204,0.0134521153009371,0,0,10.181677817807516,86.35555970800276,ABCG8;ACSM3;MTTP;ABCB11;CYP7A1,BP,5,1.8712094189112125,#2171b5,4
GO_Biological_Process_2021,lysine catabolic process (GO:0006554),3/12,8.656412784288105e-05,0.0080257312814328,0,0,44.99092970521542,420.8732783290837,AADAT;PIPOX;AASS,BP,3,2.095515385462463,#2171b5,4
GO_Biological_Process_2021,lysine metabolic process (GO:0006553),3/12,8.656412784288105e-05,0.0080257312814328,0,0,44.99092970521542,420.8732783290837,AADAT;PIPOX;AASS,BP,3,2.095515385462463,#2171b5,4
GO_Biological_Process_2021,cellular amino acid catabolic process (GO:0009063),6/90,5.968562519200783e-05,0.0077471941499226,0,0,9.804563492063492,95.36329607351348,ALDH6A1;DAO;AADAT;PIPOX;ABAT;AASS,BP,6,2.110855560183592,#2171b5,4
GO_Molecular_Function_2021,CoA-ligase activity (GO:0016405),3/14,0.00014165489659109397,0.0062682291741559,0,0,36.80705009276438,326.1883756621657,ACSM3;ACSM2A;ACSM2B,MF,3,2.202855133573609,#fd8d3c,4
GO_Molecular_Function_2021,acid-thiol ligase activity (GO:0016878),3/13,0.00011191503236471256,0.0062682291741559,0,0,40.48979591836735,368.36687548037327,ACSM3;ACSM2A;ACSM2B,MF,3,2.202855133573609,#fd8d3c,4
GO_Cellular_Component_2021,mitochondrial matrix (GO:0005759),11/348,6.537182223272506e-05,0.0060142076454107,0,0,4.582178767371859,44.15121347941925,ALDH6A1;ACSM3;ACADL;AADAT;ACSM2A;ACSM5;ABAT;GLYAT;NAGS;ACSM2B;AASS,CC,11,2.2208215816064216,#31a354,4
GO_Biological_Process_2021,acyl-CoA metabolic process (GO:0006637),5/37,7.97198239553061e-06,0.0012934541436748,0,0,21.35560344827586,250.7057588338862,ACSM3;ACSM2A;ACSM5;GLYAT;ACSM2B,BP,5,2.8882489635473703,#2171b5,4
GO_Biological_Process_2021,ribonucleoside bisphosphate metabolic process (GO:0033875),5/31,3.222060463886398e-06,0.0006970390803540908,0,0,26.29177718832891,332.47239256688385,ACSM3;ACSM2A;ACSM5;GLYAT;ACSM2B,BP,5,3.1567428719646378,#2171b5,4
GO_Biological_Process_2021,purine nucleoside bisphosphate metabolic process (GO:0034032),5/31,3.222060463886398e-06,0.0006970390803540908,0,0,26.29177718832891,332.47239256688385,ACSM3;ACSM2A;ACSM5;GLYAT;ACSM2B,BP,5,3.1567428719646378,#2171b5,4
GO_Biological_Process_2021,monocarboxylic acid biosynthetic process (GO:0072330),7/63,4.514766355370433e-07,0.0002930083364635411,0,0,17.302447552447553,252.8016008594099,ACSM3;ACSM2A;ACSM5;ABCB11;CYP7A1;CYP8B1;ACSM2B,BP,7,3.5331200232342512,#2171b5,4
GO_Molecular_Function_2021,C-acyltransferase activity (GO:0016408),4/11,9.628132443007017e-07,8.520897212061209e-05,0,0,77.66340508806262,1075.902711159506,ACSM3;ACSM2A;ACSM5;ACSM2B,MF,4,4.069514673574598,#fd8d3c,4
GO_Molecular_Function_2021,fatty-acyl-CoA synthase activity (GO:0004321),4/7,1.045322013923111e-07,1.8502199646439067e-05,0,0,181.25114155251143,2913.3892822139933,ACSM3;ACSM2A;ACSM5;ACSM2B,MF,4,4.732776637136285,#fd8d3c,4
